client_id,epoch,batch_index,latency_seconds,payload_size_mb,edge_forward,edge_backward,server_forward,server_backward,inter_delay,grad_delay
70b0959a,1,1,2.4782,34.3788,0.4271,0.5254,0.3594,0.4935,0.6307,0.0421
1c7b04d5,1,1,2.7859,34.3788,0.4869,0.5389,0.4215,0.5768,0.5957,0.1661
a08a3379,1,1,1.3595,8.5964,0.1103,0.1301,0.0991,0.1322,0.8589,0.0288
6919d271,1,1,1.5874,8.5964,0.1187,0.1493,0.1320,0.1734,0.9786,0.0354
6919d271,1,2,0.4979,8.5966,0.0971,0.1193,0.0943,0.1481,0.0106,0.0285
6919d271,1,3,0.4931,8.5964,0.0900,0.1763,0.0712,0.1200,0.0078,0.0278
6919d271,1,4,0.5070,8.5963,0.0950,0.1726,0.0660,0.1387,0.0093,0.0254
6919d271,2,5,0.6751,8.5964,0.1296,0.1631,0.1039,0.2215,0.0180,0.0390
6919d271,2,6,0.5846,8.5964,0.1174,0.1332,0.1111,0.1785,0.0141,0.0303
6919d271,2,7,0.4760,8.5968,0.0919,0.1158,0.0904,0.1452,0.0095,0.0232
6919d271,2,8,0.5013,8.5965,0.0860,0.1387,0.0847,0.1502,0.0077,0.0341
6919d271,1,1,0.6036,8.5967,0.0927,0.1593,0.0917,0.1585,0.0706,0.0308
6919d271,1,2,0.4969,8.5963,0.1110,0.1205,0.0929,0.1407,0.0091,0.0226
6919d271,1,3,0.4374,8.5967,0.0893,0.1183,0.0682,0.1277,0.0079,0.0260
6919d271,1,4,0.5418,8.5966,0.0883,0.1499,0.0906,0.1709,0.0100,0.0320
6919d271,2,5,0.6009,8.5966,0.1204,0.1596,0.1022,0.1762,0.0125,0.0300
6919d271,2,6,0.5401,8.5964,0.1088,0.1162,0.1054,0.1707,0.0125,0.0265
6919d271,2,7,0.4761,8.5965,0.0847,0.1352,0.0821,0.1461,0.0072,0.0209
6919d271,2,8,0.5115,8.5964,0.0894,0.1426,0.0898,0.1551,0.0095,0.0252
6919d271,1,1,0.4677,8.5970,0.0879,0.1295,0.0767,0.1373,0.0105,0.0258
6919d271,1,2,0.4502,8.5964,0.0908,0.1234,0.0776,0.1284,0.0086,0.0214
6919d271,1,3,0.4582,8.5965,0.0840,0.1339,0.0738,0.1317,0.0073,0.0275
6919d271,1,4,0.5283,8.5963,0.0973,0.1439,0.0984,0.1522,0.0105,0.0260
6919d271,2,5,0.5838,8.5969,0.1102,0.1629,0.1098,0.1627,0.0095,0.0287
6919d271,2,6,0.5027,8.5963,0.0968,0.1178,0.0957,0.1574,0.0117,0.0233
6919d271,2,7,0.4996,8.5965,0.0880,0.1462,0.0814,0.1472,0.0074,0.0293
6919d271,2,8,0.4662,8.5965,0.0955,0.1435,0.0690,0.1267,0.0105,0.0211
6919d271,1,1,0.5299,8.5964,0.0979,0.1302,0.0911,0.1680,0.0114,0.0313
6919d271,1,2,0.5329,8.5964,0.0904,0.1535,0.0943,0.1582,0.0069,0.0295
6919d271,1,3,0.5018,8.5963,0.1183,0.1183,0.0861,0.1452,0.0110,0.0228
6919d271,1,4,0.5424,8.5974,0.0900,0.1462,0.0945,0.1776,0.0101,0.0240
6919d271,2,5,0.5984,8.5968,0.1148,0.1670,0.0967,0.1728,0.0123,0.0347
6919d271,2,6,0.5987,8.5968,0.1224,0.1439,0.1019,0.1929,0.0112,0.0264
6919d271,2,7,0.4705,8.5965,0.1016,0.1174,0.0733,0.1488,0.0085,0.0209
6919d271,2,8,0.4964,8.5966,0.0884,0.1301,0.0927,0.1512,0.0089,0.0252
ad61ece9,1,1,1.5880,8.5970,0.1125,0.1931,0.1093,0.1563,0.9806,0.0362
ad61ece9,1,2,0.4964,8.5965,0.1175,0.1233,0.0853,0.1358,0.0086,0.0259
ad61ece9,1,3,0.4972,8.5964,0.0915,0.1246,0.0849,0.1635,0.0076,0.0251
ad61ece9,1,4,0.5045,8.5963,0.0964,0.1169,0.0896,0.1611,0.0095,0.0310
ad61ece9,2,5,0.5665,8.5964,0.0953,0.1612,0.0919,0.1711,0.0102,0.0369
ad61ece9,2,6,0.5568,8.5964,0.1247,0.1405,0.0947,0.1619,0.0099,0.0250
ad61ece9,2,7,0.5688,8.5965,0.1039,0.1410,0.0989,0.1828,0.0104,0.0318
ad61ece9,2,8,0.4632,8.5968,0.0976,0.1389,0.0683,0.1280,0.0087,0.0217
ad61ece9,1,1,0.5737,8.5964,0.0944,0.1593,0.0971,0.1352,0.0626,0.0251
ad61ece9,1,2,0.5961,8.5964,0.1300,0.1433,0.1067,0.1681,0.0229,0.0251
ad61ece9,1,3,0.4940,8.5964,0.1004,0.1534,0.0737,0.1350,0.0090,0.0226
ad61ece9,1,4,0.5191,8.5967,0.1062,0.1627,0.0757,0.1407,0.0087,0.0250
ad61ece9,2,5,0.6122,8.5963,0.1139,0.1802,0.0875,0.1810,0.0110,0.0386
ad61ece9,2,6,0.5986,8.5966,0.1256,0.1550,0.1027,0.1761,0.0137,0.0256
ad61ece9,2,7,0.5098,8.5971,0.0961,0.1672,0.0751,0.1417,0.0073,0.0224
ad61ece9,2,8,0.5392,8.5972,0.0922,0.1482,0.0972,0.1701,0.0081,0.0233
ad61ece9,1,1,0.5358,8.5964,0.1165,0.1526,0.0863,0.1395,0.0114,0.0295
ad61ece9,1,2,0.5474,8.5964,0.1259,0.1525,0.0821,0.1500,0.0119,0.0250
ad61ece9,1,3,0.5351,8.5963,0.1088,0.1421,0.0805,0.1673,0.0094,0.0270
ad61ece9,1,4,0.6020,8.5967,0.1106,0.1563,0.1005,0.1912,0.0109,0.0325
ad61ece9,2,5,0.6520,8.5965,0.1140,0.1726,0.1129,0.2008,0.0142,0.0376
ad61ece9,2,6,0.5938,8.5965,0.1176,0.1386,0.1121,0.1808,0.0133,0.0315
ad61ece9,2,7,0.4896,8.5964,0.0988,0.1521,0.0731,0.1318,0.0069,0.0268
